Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
PIĄTKOWO (53),53,20,49/10,53/20/49/10,0.0978,Szkoła Podstawowa nr 68   ,2018-04-19T04:00:00+02:00
PIĄTKOWO (53),53,21,49/20,53/21/49/20,0.5308,"Przedszkole nr 182 ""Król Elfów""   ",
PIĄTKOWO (53),53,22,40/64,53/22/40/64,0.1001,Zarząd Zieleni Miejskiej   ,2016-07-22T04:00:00+02:00
PIĄTKOWO (53),53,21,59/6,53/21/59/6,0.222,Komenda Wojewódzka Policji w Poznaniu   ,
PIĄTKOWO (53),53,11,258/40,53/11/258/40,2.0564,Poradnia Psychologiczno -Pedagogiczna nr 4 Poznań-Piątkowo   ,
PIĄTKOWO (53),53,11,258/40,53/11/258/40,2.0564,Zespół Szkolno-Przedszkolny nr 11   ,2020-01-02T02:00:00+01:00
WINIARY (52),52,22,145,52/22/145,0.3865,Zespół Przedszkoli nr 3   ,
WINIARY (52),52,03,86/3,52/03/86/3,0.0865,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,32,18,52/32/18,0.0879,IX Liceum Ogólnokształcące im. Karola Libelta   ,
WINIARY (52),52,21,77/26,52/21/77/26,0.3435,Poznański Zespół Żłobków   ,
WINIARY (52),52,35,36/6,52/35/36/6,0.0097,Zespół Szkół Zawodowych nr 2 im. Janusza Korczaka   ,
WINIARY (52),52,37,70,52/37/70,0.4495,Przedszkole nr 185   ,
PIĄTKOWO (53),53,05,394/15,53/05/394/15,0.0424,Komenda Miejska Państwowej Straży Pożarnej w Poznaniu   ,2019-09-25T04:00:00+02:00
PIĄTKOWO (53),53,14,258/28,53/14/258/28,0.4508,Zespół Szkolno-Przedszkolny nr 11   ,2019-12-28T02:00:00+01:00
PIĄTKOWO (53),53,15,253/24,53/15/253/24,1.7719,Szkoła Podstawowa nr 67 z Oddziałami Dwujęzycznymi i Sportowymi im. Jacka Kuronia   ,2017-12-19T02:00:00+01:00
WINIARY (52),52,35,51/7,52/35/51/7,0.0039,Zespół Szkół Zawodowych nr 2 im. Janusza Korczaka   ,
