Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
CHARTOWO (7),7,11,7/23,7/11/7/23,0.1301,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,54/4,7/06/54/4,0.0661,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,57/2,7/06/57/2,0.0604,Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków   ,
CHARTOWO (7),7,10,3/9,7/10/3/9,0.4445,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,10,6/12,7/10/6/12,0.1124,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,5/1,7/06/5/1,0.1739,"Przedszkole nr 160 ""Biały Orzeł""   ",
ZEGRZE (6),6,01,25/6,6/01/25/6,0.0106,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,01,24/4,6/01/24/4,0.0124,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,03,6/4,6/03/6/4,0.0334,Przedszkole nr 6 im. Polne Kwiatki   ,
ZEGRZE (6),6,06,37,6/06/37,0.2416,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,01,2/9,6/01/2/9,0.45,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,05,44/7,6/05/44/7,0.4417,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,01,4/3,6/01/4/3,0.6472,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,4/5,7/06/4/5,0.1747,"Przedszkole nr 160 ""Biały Orzeł""   ",
CHARTOWO (7),7,06,60,7/06/60,0.0844,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
SPŁAWIE (9),9,30,2/1,9/30/2/1,0.0009,Zarząd Dróg Miejskich   ,
SPŁAWIE (9),9,29,4/11,9/29/4/11,0.0227,Zarząd Dróg Miejskich   ,
SPŁAWIE (9),9,30,2/10,9/30/2/10,0.0051,Zarząd Dróg Miejskich   ,
CHARTOWO (7),7,06,47,7/06/47,0.1377,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,11,7/31,7/11/7/31,0.2969,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,49,7/06/49,0.188,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,58/2,7/06/58/2,0.0949,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
KOBYLEPOLE (8),8,14,4/8,8/14/4/8,0.0035,Wielkopolskie Samorządowe Centrum Kształcenia Zawodowego i Ustawicznego nr 2   ,
KOBYLEPOLE (8),8,14,5/9,8/14/5/9,0.0191,Wielkopolskie Samorządowe Centrum Kształcenia Zawodowego i Ustawicznego nr 2   ,
ZEGRZE (6),6,11,5/5,6/11/5/5,0.0649,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,10,20/2,6/10/20/2,0.5699,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
SPŁAWIE (9),9,32,4/2,9/32/4/2,0.6111,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,32,20/6,9/32/20/6,0.1055,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
KOBYLEPOLE (8),8,02,2/1,8/02/2/1,0.0538,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,14,5/12,8/14/5/12,0.0055,Wielkopolskie Samorządowe Centrum Kształcenia Zawodowego i Ustawicznego nr 2   ,
KOBYLEPOLE (8),8,01,3/5,8/01/3/5,0.0264,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,40,7/06/40,0.0985,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,3/2,7/06/3/2,0.4569,Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków   ,
KOBYLEPOLE (8),8,01,3/14,8/01/3/14,0.0044,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,3/15,8/01/3/15,0.0083,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,3/16,8/01/3/16,0.011,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,3/17,8/01/3/17,0.8858,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,3/18,8/01/3/18,0.2285,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,3/19,8/01/3/19,0.3726,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/24,8/02/2/24,0.0285,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/28,8/02/2/28,0.0183,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/29,8/02/2/29,0.5063,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/31,8/02/2/31,0.0725,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/30,8/02/2/30,0.0729,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/26,8/02/2/26,0.0799,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/36,8/02/2/36,0.0198,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,02,2/35,8/02/2/35,0.0204,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,05,15/7,6/05/15/7,0.2914,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,02,10/3,6/02/10/3,0.0569,Przedszkole nr 53 im. Koszałka Opałka   ,
ZEGRZE (6),6,01,20/3,6/01/20/3,0.1347,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,11,7/63,7/11/7/63,0.0124,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/62,7/11/7/62,0.0041,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/60,7/11/7/60,0.0152,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,10,2/9,7/10/2/9,0.0164,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,10,6/14,7/10/6/14,0.0136,Zarząd Transportu Miejskiego w Poznaniu   ,
SPŁAWIE (9),9,18,23,9/18/23,0.1234,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,06,32/1,6/06/32/1,0.3436,Zarząd Zieleni Miejskiej   ,2020-03-07T02:00:00+01:00
ZEGRZE (6),6,11,5/4,6/11/5/4,0.0241,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,05,13/2,6/05/13/2,0.3546,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,06,36/2,6/06/36/2,0.5791,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
ZEGRZE (6),6,01,8/3,6/01/8/3,0.1613,Zarząd Zieleni Miejskiej   ,
KOBYLEPOLE (8),8,01,3/20,8/01/3/20,0.1646,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,3/21,8/01/3/21,0.8524,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,4/11,8/01/4/11,0.0235,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,4/9,8/01/4/9,0.0318,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,01,4/10,8/01/4/10,0.3129,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,55/1,7/06/55/1,0.0007,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,61,7/06/61,0.0087,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,22/1,7/06/22/1,0.5294,Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków   ,
CHARTOWO (7),7,06,24/4,7/06/24/4,0.0116,"Przedszkole nr 160 ""Biały Orzeł""   ",
CHARTOWO (7),7,06,34/4,7/06/34/4,0.172,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,41,7/06/41,0.1427,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,33/6,7/06/33/6,0.1579,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,08,4/3,7/08/4/3,0.3196,Poradnia Psychologiczno-Pedagogiczna nr 8 Poznań Chartowo   ,2022-07-28T04:00:00+02:00
CHARTOWO (7),7,08,4/3,7/08/4/3,0.3196,Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi   ,2022-07-28T04:00:00+02:00
CHARTOWO (7),7,06,56/6,7/06/56/6,0.0609,"Przedszkole nr 160 ""Biały Orzeł""   ",
CHARTOWO (7),7,06,30,7/06/30,0.2678,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,39,7/06/39,0.1285,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
KOBYLEPOLE (8),8,02,2/23,8/02/2/23,1.4391,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,33,15,6/33/15,0.059,Szkoła Podstawowa Nr 64 im.Marii Konopnickiej   ,
ZEGRZE (6),6,02,16/3,6/02/16/3,0.071,Prezydent Miasta Poznania   ,
ZEGRZE (6),6,11,5/10,6/11/5/10,0.1993,Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej   ,
ZEGRZE (6),6,10,1/24,6/10/1/24,0.1898,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
ZEGRZE (6),6,34,4,6/34/4,0.4643,"Przedszkole nr 178  Kwiaty Polskie """"   ",
ZEGRZE (6),6,26,28,6/26/28,0.4208,Zarząd Dróg Miejskich   ,
CHARTOWO (7),7,06,44,7/06/44,0.2951,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,51,7/06/51,0.1756,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,53/2,7/06/53/2,0.1973,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,38,7/06/38,0.1999,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,11,7/4,7/11/7/4,0.0249,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,10,3/6,7/10/3/6,0.5591,"Przedszkole nr 150 ""Baśniowy Dom""   ",
CHARTOWO (7),7,06,50,7/06/50,0.2863,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
ZEGRZE (6),6,06,45/4,6/06/45/4,0.1108,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
CHARTOWO (7),7,06,43,7/06/43,0.1114,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,4/1,7/06/4/1,0.0019,Liceum Ogólnokształcące Mistrzostwa Sportowego   ,2018-04-18T04:00:00+02:00
CHARTOWO (7),7,08,1/2,7/08/1/2,0.0943,Poradnia Psychologiczno-Pedagogiczna nr 8 Poznań Chartowo   ,
CHARTOWO (7),7,08,1/2,7/08/1/2,0.0943,Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi   ,
CHARTOWO (7),7,09,7/14,7/09/7/14,0.3881,Wojewódzki Inspektorat Farmaceutyczny   ,
CHARTOWO (7),7,09,7/14,7/09/7/14,0.3881,Wojewódzki Inspektorat Transportu Drogowego   ,
CHARTOWO (7),7,06,37,7/06/37,0.2337,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,24/3,7/06/24/3,0.0497,Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków   ,
CHARTOWO (7),7,06,53/1,7/06/53/1,0.0621,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,55/2,7/06/55/2,0.2501,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,13,3/12,7/13/3/12,0.6824,"Przedszkole Nr 144 Wesoła Gromada""""   ",
CHARTOWO (7),7,13,3/7,7/13/3/7,0.3742,Poznański Zespół Żłobków   ,
SPŁAWIE (9),9,29,4/15,9/29/4/15,0.0513,Zarząd Dróg Miejskich   ,
SPŁAWIE (9),9,22,39/2,9/22/39/2,0.2409,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,22,40/4,9/22/40/4,0.2196,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,30,2/28,9/30/2/28,0.0649,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,31,3/1,9/31/3/1,0.8158,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,22,41/6,9/22/41/6,0.002,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,30,2/16,9/30/2/16,0.0088,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,32,2/2,9/32/2/2,0.3195,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,22,40/1,9/22/40/1,0.0098,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,32,6/1,9/32/6/1,2.1188,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
CHARTOWO (7),7,13,3/8,7/13/3/8,0.4141,"Przedszkole nr 73 ""Zielony Gaik""   ",
CHARTOWO (7),7,10,1/6,7/10/1/6,0.1694,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,11,4,7/11/4,0.3165,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,21/1,7/06/21/1,0.3397,Liceum Ogólnokształcące Mistrzostwa Sportowego   ,2018-04-18T04:00:00+02:00
CHARTOWO (7),7,06,31,7/06/31,0.2879,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,32/2,7/06/32/2,0.2971,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,45,7/06/45,0.2287,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,46,7/06/46,0.0566,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,52,7/06/52,0.1256,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,11,12,7/11/12,0.0542,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,14,3/21,7/14/3/21,0.3213,Zarząd Transportu Miejskiego w Poznaniu   ,2019-06-26T04:00:00+02:00
CHARTOWO (7),7,06,23/2,7/06/23/2,0.2592,Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków   ,
ZEGRZE (6),6,36,4/1,6/36/4/1,0.0171,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
ZEGRZE (6),6,01,5/2,6/01/5/2,0.9221,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,14,21/2,6/14/21/2,0.4926,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,01,2/10,6/01/2/10,0.5721,Zarząd Zieleni Miejskiej   ,
SPŁAWIE (9),9,31,2,9/31/2,3.2944,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,24,40/3,9/24/40/3,0.0013,Zarząd Dróg Miejskich   ,
KOBYLEPOLE (8),8,24,4/1,8/24/4/1,0.0139,Ośrodek dla Bezdomnych nr 1   ,
CHARTOWO (7),7,11,7/53,7/11/7/53,0.1116,Zarząd Transportu Miejskiego w Poznaniu   ,2017-11-06T02:00:00+01:00
CHARTOWO (7),7,14,1/34,7/14/1/34,0.1123,Zarząd Zieleni Miejskiej   ,2020-07-16T04:00:00+02:00
CHARTOWO (7),7,14,1/36,7/14/1/36,0.0406,Zarząd Zieleni Miejskiej   ,2020-07-16T04:00:00+02:00
CHARTOWO (7),7,14,3/18,7/14/3/18,0.1322,Zarząd Zieleni Miejskiej   ,
KOBYLEPOLE (8),8,02,2/21,8/02/2/21,0.1197,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,31,1,6/31/1,0.5028,"Przedszkole nr 114 ""Pinokio""   ",
ZEGRZE (6),6,06,34,6/06/34,0.6837,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
ZEGRZE (6),6,09,4/7,6/09/4/7,0.3144,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,03,9/3,6/03/9/3,0.1784,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,48,7/06/48,0.2536,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
SPŁAWIE (9),9,18,15/16,9/18/15/16,0.0011,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,28,2/3,6/28/2/3,0.0455,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,24,11/4,6/24/11/4,0.0179,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,26,4/10,6/26/4/10,0.2445,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,26,25,6/26/25,0.177,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,09,2/3,6/09/2/3,0.0025,Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej   ,
ZEGRZE (6),6,06,36/3,6/06/36/3,0.2042,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
ZEGRZE (6),6,05,22/4,6/05/22/4,0.0594,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,02,17/1,6/02/17/1,0.557,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,05,32/4,6/05/32/4,0.0212,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,26,14/10,6/26/14/10,0.0406,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,24,17,6/24/17,0.0652,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,26,12/6,6/26/12/6,0.0021,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,26,4/4,6/26/4/4,0.0109,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,03,4/1,6/03/4/1,0.1827,Przedszkole nr 6 im. Polne Kwiatki   ,
KOBYLEPOLE (8),8,24,1/1,8/24/1/1,0.258,Ośrodek dla Bezdomnych nr 1   ,
CHARTOWO (7),7,10,2/5,7/10/2/5,0.5085,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,11,7/32,7/11/7/32,0.1667,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,11,7/48,7/11/7/48,0.0056,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,15,2/14,7/15/2/14,0.0179,Zarząd Transportu Miejskiego w Poznaniu   ,
KOBYLEPOLE (8),8,41,1/22,8/41/1/22,0.0308,Przedszkole nr 93 im. Hanny Zdzitowieckiej   ,2017-09-15T04:00:00+02:00
KOBYLEPOLE (8),8,41,1/23,8/41/1/23,1.3124,Szkoła Podstawowa nr 61 im.Komisji Edukacji Narodowej   ,2017-11-11T02:00:00+01:00
ZEGRZE (6),6,35,2,6/35/2,2.5491,Zespół Szkolno-Przedszkolny nr 19   ,
ZEGRZE (6),6,05,22/6,6/05/22/6,0.0564,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,08,3/8,7/08/3/8,3.2796,Poradnia Psychologiczno-Pedagogiczna nr 8 Poznań Chartowo   ,2022-07-28T04:00:00+02:00
CHARTOWO (7),7,08,3/8,7/08/3/8,3.2796,Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi   ,2022-07-28T04:00:00+02:00
CHARTOWO (7),7,12,4/2,7/12/4/2,0.0524,Prezydent Miasta Poznania   ,
CHARTOWO (7),7,11,7/26,7/11/7/26,0.1459,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/24,7/11/7/24,0.0467,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/22,7/11/7/22,0.0182,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/21,7/11/7/21,0.0783,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/20,7/11/7/20,0.0363,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,08,2/4,7/08/2/4,0.0172,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,08,2/6,7/08/2/6,0.0421,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,08,2/5,7/08/2/5,0.0033,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,15,2/12,7/15/2/12,1.0259,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,10,1/10,6/10/1/10,0.0428,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,10,18,6/10/18,0.1206,Zarząd Zieleni Miejskiej   ,2020-03-07T02:00:00+01:00
ZEGRZE (6),6,11,1/18,6/11/1/18,1.2975,Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej   ,
ZEGRZE (6),6,24,10/9,6/24/10/9,0.1468,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,24,10/35,6/24/10/35,0.0826,Zarząd Dróg Miejskich   ,
CHARTOWO (7),7,06,35/1,7/06/35/1,0.0177,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,25/1,7/06/25/1,0.1496,"Przedszkole nr 160 ""Biały Orzeł""   ",
CHARTOWO (7),7,06,54/3,7/06/54/3,0.0194,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,14,3/6,7/14/3/6,0.7917,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/30,7/11/7/30,0.2429,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,06,20/2,7/06/20/2,0.0005,Liceum Ogólnokształcące Mistrzostwa Sportowego   ,2018-04-18T04:00:00+02:00
CHARTOWO (7),7,06,27/9,7/06/27/9,0.0251,"Przedszkole nr 160 ""Biały Orzeł""   ",
CHARTOWO (7),7,06,56/4,7/06/56/4,0.0837,Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków   ,
CHARTOWO (7),7,11,11/2,7/11/11/2,0.1537,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,63/5,7/06/63/5,0.003,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,63/4,7/06/63/4,0.0034,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
CHARTOWO (7),7,06,63/3,7/06/63/3,0.0117,Zarząd Zieleni Miejskiej   ,2017-03-09T02:00:00+01:00
KOBYLEPOLE (8),8,11,1/5,8/11/1/5,0.9235,Szkoła Podstawowa nr 55 im.Jurija Gagarina   ,
ZEGRZE (6),6,28,4/3,6/28/4/3,0.0628,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,24,12/6,6/24/12/6,0.006,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,24,11/18,6/24/11/18,0.3117,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,25,5/9,6/25/5/9,0.0117,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,03,10/3,6/03/10/3,0.5685,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,09,6/1,6/09/6/1,0.0284,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,09,5/9,6/09/5/9,0.9954,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,29/4,7/06/29/4,0.4282,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,26/7,7/06/26/7,0.1578,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,06,27/22,7/06/27/22,0.1014,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,11,7/50,7/11/7/50,0.0154,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,11,7/45,7/11/7/45,0.0515,Zarząd Transportu Miejskiego w Poznaniu   ,
CHARTOWO (7),7,11,7/46,7/11/7/46,0.3043,Zarząd Transportu Miejskiego w Poznaniu   ,2016-06-21T04:00:00+02:00
CHARTOWO (7),7,14,3/15,7/14/3/15,0.351,Zarząd Zieleni Miejskiej   ,
CHARTOWO (7),7,09,7/16,7/09/7/16,0.1441,Wojewódzki Inspektorat Transportu Drogowego   ,
ZEGRZE (6),6,34,3,6/34/3,0.5555,"Przedszkole nr 20 Śmiałka Umiałka"" w Poznaniu""   ",
ZEGRZE (6),6,03,11/1,6/03/11/1,0.0167,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,06,38,6/06/38,0.9645,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,02,16/4,6/02/16/4,1.7669,Szkoła Podstawowa nr 51 im. Bronisława Szwarca w Poznaniu   ,
CHARTOWO (7),7,11,1/9,7/11/1/9,0.0063,Zarząd Transportu Miejskiego w Poznaniu   ,
ZEGRZE (6),6,06,44/1,6/06/44/1,0.1472,Zarząd Zieleni Miejskiej   ,2016-04-07T04:00:00+02:00
ZEGRZE (6),6,05,21/4,6/05/21/4,0.0296,Zarząd Zieleni Miejskiej   ,
ZEGRZE (6),6,24,12/2,6/24/12/2,0.0011,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,26,12/7,6/26/12/7,0.0178,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,25,6/4,6/25/6/4,0.0027,Zarząd Dróg Miejskich   ,
ZEGRZE (6),6,02,21/1,6/02/21/1,0.0349,Zarząd Transportu Miejskiego w Poznaniu   ,
GOLĘCIN (20),20,25,15/74,20/25/15/74,0.3142,Komenda Wojewódzka Policji w Poznaniu   ,
KRZESINY (10),10,19,4/1,10/19/4/1,0.1189,Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Poznaniu   ,
KRZESINY (10),10,25,2/2,10/25/2/2,1.4317,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
KRZESINY (10),10,25,3/5,10/25/3/5,0.9432,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
KRZESINY (10),10,44,18/1,10/44/18/1,0.2562,Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Poznaniu   ,
KRZESINY (10),10,17,9/27,10/17/9/27,0.1401,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
KRZESINY (10),10,17,9/35,10/17/9/35,0.1136,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
KRZESINY (10),10,40,15,10/40/15,1.5588,Zarząd Zieleni Miejskiej   ,
KRZESINY (10),10,27,2,10/27/2,0.273,Komenda Miejska Państwowej Straży Pożarnej w Poznaniu   ,
STAROŁĘKA (11),11,21,106/2,11/21/106/2,0.0124,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
STAROŁĘKA (11),11,26,4/2,11/26/4/2,0.0026,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
